Item,Category,Description,Part Number / Spec,Qty,Unit Price (CAD $),Subtotal (CAD $),13% Tax (CAD $),Total (CAD $),Total (USD $),Product URL
11,Flight Controller PCB (DigiKey),RES 1K OHM 1% 1/16W 0402,RC0402FR-071KL,10.0,0.03,0.33,0.04,0.37,0.29,https://www.digikey.ca/en/products/detail/yageo/RC0402FR-071KL/1005934
12,Flight Controller PCB (DigiKey),RES 5.1K OHM 1% 1/16W 0402,RC0402FR-075K1L,10.0,0.03,0.33,0.04,0.37,0.29,https://www.digikey.ca/en/products/detail/yageo/RC0402FR-075K1L/1005972
13,Flight Controller PCB (DigiKey),RES 73.2K OHM 1% 1/16W 0402,RC0402FR-0773K2L,1.0,0.16,0.16,0.02,0.18,0.14,https://www.digikey.ca/en/products/detail/yageo/RC0402FR-0773K2L/5016075
14,Flight Controller PCB (DigiKey),CONN RCP USB2.0 TYP C 16P SMD RA,USB4105-GF-A,1.0,1.19,1.19,0.15,1.34,1.05,https://www.digikey.ca/en/products/detail/gct/USB4105-GF-A/10448937
15,Flight Controller PCB (DigiKey),CAP CER 4.7UF 16V X7R 0805,CL21B475KOFNNNE,3.0,0.4,1.2,0.16,1.36,1.05,https://www.digikey.ca/en/products/detail/samsung-electro-mechanics/CL21B475KOFNNNE/3886873
16,Flight Controller PCB (DigiKey),FIXED IND 10UH 1.25A 513 MOHM,74438335100,1.0,1.9,1.9,0.25,2.15,1.67,https://www.digikey.ca/en/products/detail/w%C3%BCrth-elektronik/74438335100/5803975
17,Flight Controller PCB (DigiKey),CAP CER 10UF 25V X5R 1210,CL32A106KAULNNE,1.0,0.46,0.46,0.06,0.52,0.4,https://www.digikey.ca/en/products/detail/samsung-electro-mechanics/CL32A106KAULNNE/3888321
18,Flight Controller PCB (DigiKey),CAP CER 22UF 6.3V X5R 0402,CL05A226MQ5QUNC,2.0,0.86,1.72,0.22,1.94,1.51,https://www.digikey.ca/en/products/detail/samsung-electro-mechanics/CL05A226MQ5QUNC/5961284
19,Flight Controller PCB (DigiKey),CONN HEADER SMD R/A 6POS 1MM,SM06B-SHLS-TF,1.0,1.03,1.03,0.13,1.16,0.91,https://www.digikey.ca/en/products/detail/jst-sales-america-inc/SM06B-SHLS-TF/3313628
20,Flight Controller PCB (DigiKey),CAP CER 22UF 25V X5R 0805,CC0805MKX5R8BB226,2.0,0.89,1.78,0.23,2.01,1.56,https://www.digikey.ca/en/products/detail/yageo/CC0805MKX5R8BB226/5034175
21,Flight Controller PCB (DigiKey),CAP CER 10UF 10V X5R 0402,CC0402MRX5R6BB106,2.0,0.42,0.84,0.11,0.95,0.74,https://www.digikey.ca/en/products/detail/yageo/CC0402MRX5R6BB106/11496660
22,Flight Controller PCB (DigiKey),CAP CER 4.7UF 10V X5R 0402,GRM155R61A475MEAAD,2.0,0.18,0.36,0.05,0.41,0.32,https://www.digikey.ca/en/products/detail/murata-electronics/GRM155R61A475MEAAD/4905187
23,Flight Controller PCB (DigiKey),RES 10K OHM 1% 1/16W 0402,RC0402FR-0710KL,10.0,0.03,0.33,0.04,0.37,0.29,https://www.digikey.ca/en/products/detail/yageo/RC0402FR-0710KL/1005929
24,ESC / Drone Hardware,SpeedyBee BLS 35A Mini V2 20x20 4-in-1 ESC,BLS 35A Mini V2,1.0,77.97,77.97,10.14,88.11,68.55,https://www.speedybee.com/speedybee-f405-mini-bls-35a-20x20-stack/
25,PCB Fabrication,JLCPCB Custom FC PCB Manufacturing,5-10 PCBs (4-Layer),1.0,42.95,42.95,5.58,48.53,37.76,https://jlcpcb.com/
26,BetaFPV,LAVA Series 1104 Brushless Motors,LAVA 1104,4.0,17.97,71.88,9.34,81.22,63.19,https://betafpv.com/products/lava-series-1104-brushless-motors?variant=41273238749318
27,BetaFPV,Gemfan D2.2 3-Blade Propellers (1.5mm Shaft),Gemfan D2.2,1.0,6.9,6.9,0.9,7.8,6.07,https://betafpv.com/collections/2-3-inch-propellers/products/gemfan-d2-2-3-blade-propellers-1-5mm-shaft?variant=44124614590598
28,BetaFPV,LAVA II 3S Battery,LAVA II 3S,1.0,37.35,37.35,4.86,42.21,32.84,https://betafpv.com/products/lava-ii-3s-battery?variant=43026471190662
29,ToolkitRC,ToolkitRC M4 Pocket Charger,M4 Pocket,1.0,36.54,36.54,4.75,41.29,32.12,https://www.toolkitrc.com/product/m4-pocket/
30,Shipping,DigiKey FedEx Shipping Fee,FedEx International Priority,1.0,15.0,15.0,1.95,16.95,13.19,https://www.digikey.ca/
31,Shipping,Rotor Village Shipping Fee,Ground Shipping,1.0,33.0,33.0,4.29,37.29,29.01,https://rotorvillage.ca/
32,Rotor Village,GEPRC M10Q GPS,GEPRC M10Q GPS,1.0,33.99,33.99,4.42,38.41,29.88,https://rotorvillage.ca/geprc-m10q-gps/
33,TOTAL,Grand Total,,,,,,,,
34,Rotor Village,Rotor Village 165mm Grippy Lipo Strap (2pcs),165mm Grippy Lipo Strap (2pcs),1.0,5.19,5.19,0.67,5.86,4.56,https://rotorvillage.ca/rotor-village-165mm-grippy-lipo-strap-2pcs/
35,BetaFPV,ELRS Nano Receiver,ELRS Nano Receiver,1.0,13.84,13.84,1.8,15.64,12.17,https://betafpv.com/products/elrs-nano-receiver?variant=40838513852550
36,Shipping,BetaFPV Shipping Fee,International Shipping,1.0,12.8,12.8,1.66,14.46,10.0,https://betafpv.com/
37,Flight Controller PCB (DigiKey),CAP CER 100UF,100uF capacitor,2.0,0.0,0.0,0.0,0.0,0.0,
,TOTAL,Grand Total,,,,425.77,55.35,481.12,373.06,
